Show	Link
The Phantom of the Opera	https://www.playbill.com/production/gross?production=00000150-aea4-d936-a7fd-eef4dee60001
Chicago (1996 revival)	https://www.playbill.com/production/gross?production=00000150-aea2-d936-a7fd-eef6db350002
The Lion King	https://www.playbill.com/production/gross?production=00000150-aea5-d936-a7fd-eef572240001
Wicked	https://www.playbill.com/production/gross?production=00000150-aea6-d936-a7fd-eef6ecdd0001
Cats	https://www.playbill.com/production/gross?production=00000150-aea6-d936-a7fd-eef6dd910003
Les Miserables	https://www.playbill.com/production/gross?production=00000150-aea7-d936-a7fd-eef76ae40001
A Chorus Line	https://www.playbill.com/production/gross?production=00000150-aea6-d936-a7fd-eef6768e0001
Oh! Calcutta! (1976 revival)	https://www.playbill.com/production/gross?production=00000150-aea8-d936-a7fd-eefc2a540001
Mamma Mia!	https://www.playbill.com/production/gross?production=00000150-aea6-d936-a7fd-eef6dd910002
Beauty and the Beast	https://www.playbill.com/production/gross?production=00000150-aea5-d936-a7fd-eef5e5d40001
Rent	https://www.playbill.com/production/gross?production=00000150-aea2-d936-a7fd-eef695ed0001
Jersey Boys	https://www.playbill.com/production/gross?production=00000150-aea3-d936-a7fd-eef7ad650004
The Book of Mormon	https://www.playbill.com/production/gross?production=00000150-aea8-d936-a7fd-eefc3a440004
Miss Saigon	https://www.playbill.com/production/gross?production=00000150-aea7-d936-a7fd-eef76ae40000
42nd Street	https://www.playbill.com/production/gross?production=00000150-aea7-d936-a7fd-eef70d370000
Grease	
Aladdin	https://www.playbill.com/production/gross?production=00000150-aea8-d936-a7fd-eefc73620003
Fiddler on the Roof	
Life With Father	
Tobacco Road	
Hello, Dolly!	
Hamilton	https://www.playbill.com/production/gross?production=00000150-aea8-d936-a7fd-eefc733e0005
My Fair Lady	
Hairspray	https://www.playbill.com/production/gross?production=00000150-aea2-d936-a7fd-eef607b90000
Mary Poppins	https://www.playbill.com/production/gross?production=00000150-aea5-d936-a7fd-eef572240000
Avenue Q	https://www.playbill.com/production/gross?production=00000150-aea5-d936-a7fd-eef534b50001
Kinky Boots	https://www.playbill.com/production/gross?production=00000150-aea8-d936-a7fd-eefc72e30008
The Producers	https://www.playbill.com/production/gross?production=00000150-aea3-d936-a7fd-eef747370002
Beautiful: The Carole King Musical	https://www.playbill.com/production/gross?production=00000150-aea8-d936-a7fd-eefc73620002
Annie	
Cabaret (1998 revival)	https://www.playbill.com/production/gross?production=00000150-aea3-d936-a7fd-eef7cc550003
Man of La Mancha	
Rock of Ages	https://www.playbill.com/production/gross?production=00000150-aea5-d936-a7fd-eef542ad0008
Abie's Irish Rose	
Oklahoma!	
Smokey Joe's Cafe	https://www.playbill.com/production/gross?production=00000150-aea3-d936-a7fd-eef7cc6c0001
Pippin	
South Pacific	
The Magic Show	
Aida	https://www.playbill.com/production/gross?production=00000150-aea5-d936-a7fd-eef5e5d30003
Gemini	
Deathtrap	
Harvey	
Dancin'	
La Cage aux Folles	https://www.playbill.com/production/gross?production=00000150-aea5-d936-a7fd-eef5e5d40004
Hair	
Dear Evan Hansen	https://www.playbill.com/production/gross?production=00000155-78e3-d665-a757-fdfb0f520000
The Wiz	
Come from Away	https://www.playbill.com/production/gross?production=00000156-988c-d1e6-a5fe-dfdd61a10000
Born Yesterday	
Crazy for You	https://www.playbill.com/production/gross?production=00000150-aea6-d936-a7fd-eef6768e0000
Ain't Misbehavin'	
The Best Little Whorehouse in Texas	
Spamalot	https://www.playbill.com/production/gross?production=00000150-aea6-d936-a7fd-eef681570009
Mary, Mary	
Harry Potter and the Cursed Child	https://www.playbill.com/production/gross?production=0000015b-d406-d273-a9fb-de4fdd390000
Evita	
The Voice of the Turtle	
Matilda the Musical	https://www.playbill.com/production/gross?production=00000150-aea8-d936-a7fd-eefc735f0000
Waitress	https://www.playbill.com/production/gross?production=00000151-b783-d86d-a375-ffc779cc0000
Jekyll & Hyde	https://www.playbill.com/production/gross?production=00000150-aea5-d936-a7fd-eef5cb030003
Barefoot in the Park	
42nd Street (2001 revival)	https://www.playbill.com/production/gross?production=00000150-aea3-d936-a7fd-eef771680004
Dreamgirls	
Mame	
Grease (1993 revival)	https://www.playbill.com/production/gross?production=00000150-aea3-d936-a7fd-eef7716c0000
Same Time, Next Year	
Arsenic and Old Lace	
The Sound of Music	
Me and My Girl	https://www.playbill.com/production/gross?production=00000150-aea5-d936-a7fd-eef542ac0000
How to Succeed in Business Without Really Trying	
Hellzapoppin	
The Music Man	
Funny Girl	
Mummenschanz	
Oh! Calcutta!	
Billy Elliot the Musical	https://www.playbill.com/production/gross?production=00000150-aea4-d936-a7fd-eef4369d0004
School of Rock	https://www.playbill.com/production/gross?production=00000150-aea8-d936-a7fd-eefc72ea0003
Movin' Out	https://www.playbill.com/production/gross?production=00000150-aea2-d936-a7fd-eef6db340001
Brighton Beach Memoirs	https://www.playbill.com/production/gross?production=00000150-aea2-d936-a7fd-eef607b80004
Angel Street	
Lightnin'	
Promises, Promises	
Hadestown	https://www.playbill.com/production/gross?production=00000167-5ad2-d052-a567-dfdb48060000
The King and I	
Cactus Flower	
Sleuth	
Torch Song Trilogy	
1776	
Equus	
Sugar Babies	
Guys and Dolls	
In the Heights	https://www.playbill.com/production/gross?production=00000150-aea2-d936-a7fd-eef6db330003
Amadeus	
Once	https://www.playbill.com/production/gross?production=00000150-aea8-d936-a7fd-eefc72ff0001
Cabaret	
Memphis	https://www.playbill.com/production/gross?production=00000150-aea6-d936-a7fd-eef681610009
Mister Roberts	
Annie Get Your Gun	
Guys and Dolls (1992 revival)	https://www.playbill.com/production/gross?production=00000150-aea5-d936-a7fd-eef534a40000
The Seven Year Itch	
The 25th Annual Putnam County Spelling Bee	https://www.playbill.com/production/gross?production=00000150-aea2-d936-a7fd-eef6e1130004
Bring in 'da Noise, Bring in 'da Funk	https://www.playbill.com/production/gross?production=00000150-aea2-d936-a7fd-eef607c70006
Butterflies Are Free	
Moulin Rouge!	https://www.playbill.com/production/gross?production=00000167-2c70-d24b-ad67-bdf901c30000
Pins and Needles	
Plaza Suite	
Fosse	https://www.playbill.com/production/gross?production=00000150-ae93-d936-a7fd-eef749960000
They're Playing Our Song	
Kiss Me, Kate	
Spider-Man: Turn Off the Dark	https://www.playbill.com/production/gross?production=00000150-aea8-d936-a7fd-eefc41bc0001
Don't Bother Me, I Can't Cope	
The Pajama Game	
Shenandoah	
Annie Get Your Gun (1999 revival)	https://www.playbill.com/production/gross?production=00000150-aea5-d936-a7fd-eef542a90005
The Teahouse of the August Moon	
Les Miserables (2014 revival)	https://www.playbill.com/production/gross?production=00000150-aea8-d936-a7fd-eefc733d0003
Damn Yankees	
Grand Hotel	https://www.playbill.com/production/gross?production=00000150-aea5-d936-a7fd-eef534a40001
Contact	https://www.playbill.com/production/gross?production=00000150-aea7-d936-a7fd-eef751710004
Never Too Late	
Beatlemania	
Big River	https://www.playbill.com/production/gross?production=00000150-aea3-d936-a7fd-eef7716d0003
Newsies	https://www.playbill.com/production/gross?production=00000150-aea8-d936-a7fd-eefc72fd0000
